Date,Region,Product_Type,Units_Sold,Client_Type,Sales_Channel,Service_Contract,Customer_Satisfaction,Revenue,Maintenance_Cost
2023-02-01,Timișoara,Pallet Truck,3,Corporate,Direct,Yes,7,16721.99,1095.1
2023-02-01,București,Pallet Truck,3,SME,Direct,No,8,15750.12,1129.51
2023-02-01,Timișoara,Order Picker,4,SME,Direct,Yes,9,46912.15,3421.39
2023-02-02,Constanța,Electric Forklift,2,Corporate,Direct,Yes,10,59448.51,2820.45
2023-02-02,Iași,Electric Forklift,1,Corporate,Direct,Yes,7,23942.67,1534.31
2023-02-02,Iași,Electric Forklift,2,Dealer,Direct,Yes,7,45331.4,2784.37
2023-02-02,Cluj,Pallet Truck,5,Dealer,Direct,Yes,7,27692.3,1654.77
2023-02-03,Timișoara,Electric Forklift,3,Corporate,Direct,No,9,80131.85,3632.3
2023-02-03,Constanța,Pallet Truck,4,SME,Direct,Yes,9,21519.77,1581.9
2023-02-03,Timișoara,Pallet Truck,5,Dealer,Dealer,Yes,7,25142.68,1932.45
2023-02-03,Constanța,Reach Truck,3,Corporate,Dealer,No,7,61013.04,2384.99
2023-02-03,Constanța,Electric Forklift,1,Corporate,Direct,Yes,8,26845.4,2121.14
2023-02-03,Timișoara,Electric Forklift,5,Corporate,Direct,Yes,7,128923.01,8074.02
2023-02-04,Cluj,Electric Forklift,5,Corporate,Direct,Yes,10,129945.51,8685.34
2023-02-04,București,Order Picker,5,Corporate,Direct,Yes,9,61532.43,2202.24
2023-02-04,Cluj,Order Picker,5,Dealer,Direct,Yes,8,62496.17,4220.45
2023-02-04,Cluj,Order Picker,3,Corporate,Direct,Yes,10,37415.52,1197.03
2023-02-05,Iași,Reach Truck,5,SME,Dealer,No,8,89701.59,6130.17
2023-02-05,Iași,Order Picker,5,Dealer,Dealer,Yes,6,60253.18,2218.94
2023-02-06,Timișoara,Pallet Truck,5,Corporate,Direct,Yes,7,25447.1,1148.15
2023-02-06,Timișoara,Pallet Truck,4,Corporate,Dealer,Yes,10,22103.78,1346.75
2023-02-07,Timișoara,Reach Truck,3,Dealer,Direct,Yes,9,53785.3,2374.64
2023-02-07,Iași,Reach Truck,2,Corporate,Direct,Yes,10,37306.26,1140.64
2023-02-07,Constanța,Order Picker,5,Dealer,Direct,Yes,6,54200.87,3457.29
2023-02-08,București,Order Picker,1,Corporate,Direct,Yes,9,13091.03,732.35
2023-02-08,București,Electric Forklift,5,Corporate,Direct,Yes,6,146270.58,8908.8
2023-02-08,Cluj,Order Picker,3,Dealer,Direct,No,6,41184.39,3247.88
2023-02-08,Cluj,Reach Truck,4,Dealer,Dealer,No,8,74760.97,3435.78
2023-02-08,Cluj,Reach Truck,5,Corporate,Direct,No,6,106051.88,3471.6
2023-02-08,Iași,Order Picker,3,Corporate,Direct,Yes,9,34907.52,2527.61
2023-02-09,București,Pallet Truck,3,SME,Direct,Yes,9,17562.4,647.22
2023-02-09,Timișoara,Order Picker,1,Corporate,Dealer,No,8,12665.81,961.87
2023-02-09,Iași,Pallet Truck,4,Corporate,Direct,No,8,23269.75,822.42
2023-02-09,Constanța,Reach Truck,3,Corporate,Dealer,Yes,10,62029.68,1870.31
2023-02-09,Cluj,Pallet Truck,5,SME,Direct,Yes,8,23476.94,1313.77
2023-02-09,Constanța,Reach Truck,1,SME,Dealer,Yes,10,18819.61,1078.67
2023-02-10,Iași,Order Picker,5,SME,Direct,Yes,6,69054.19,3373.11
2023-02-10,Timișoara,Reach Truck,5,Corporate,Direct,No,8,107913.59,6596.41
2023-02-10,București,Order Picker,5,Dealer,Direct,Yes,7,70431.5,4987.55
2023-02-10,Constanța,Reach Truck,3,Dealer,Dealer,Yes,7,61296.91,3320.14
2023-02-11,București,Pallet Truck,4,SME,Direct,Yes,8,19311.99,771.34
2023-02-11,București,Pallet Truck,4,Dealer,Direct,Yes,9,20662.56,1392.18
2023-02-11,Constanța,Electric Forklift,2,Corporate,Direct,Yes,9,54956.47,2608.13
2023-02-11,Iași,Order Picker,4,Dealer,Direct,Yes,9,52428.11,3146.34
2023-02-11,Cluj,Pallet Truck,3,SME,Direct,Yes,7,17899.98,1227.34
2023-02-12,București,Reach Truck,2,SME,Dealer,Yes,10,39077.41,1925.17
2023-02-12,Constanța,Order Picker,2,Dealer,Direct,Yes,7,27262.55,2043.11
2023-02-13,Cluj,Order Picker,1,Dealer,Direct,No,6,11056.56,393.57
2023-02-13,București,Pallet Truck,4,Dealer,Dealer,Yes,7,19889.72,724.92
2023-02-13,Constanța,Pallet Truck,5,SME,Direct,No,8,27687.12,2136.4
2023-02-14,Iași,Order Picker,4,Corporate,Direct,Yes,8,56257.19,4396.08
2023-02-14,Cluj,Reach Truck,2,Dealer,Direct,Yes,6,40467.68,1624.18
2023-02-14,Iași,Electric Forklift,5,SME,Direct,Yes,6,136756.18,8450.94
2023-02-14,București,Order Picker,3,Dealer,Direct,No,10,38353.15,2088.87
2023-02-14,Cluj,Order Picker,2,SME,Dealer,No,8,28465.95,1084.74
2023-02-14,Cluj,Reach Truck,1,Dealer,Direct,No,10,18418.74,704.51
2023-02-14,București,Order Picker,3,SME,Direct,No,8,42792.17,1683.99
2023-02-15,Iași,Electric Forklift,2,Corporate,Direct,No,6,49259.76,3613.04
2023-02-15,Constanța,Reach Truck,5,Corporate,Dealer,Yes,9,81271.94,6131.31
2023-02-16,Constanța,Order Picker,1,Corporate,Direct,Yes,6,13923.73,1054.6
2023-02-16,București,Electric Forklift,2,Corporate,Direct,Yes,9,55182.27,3711.9
2023-02-16,Iași,Pallet Truck,1,SME,Dealer,Yes,10,5319.51,184.74
2023-02-17,București,Order Picker,4,Corporate,Direct,No,7,55951.35,2835.03
2023-02-17,Timișoara,Reach Truck,4,SME,Dealer,No,8,86059.73,2908.82
2023-02-18,Iași,Reach Truck,5,SME,Direct,Yes,7,86444.05,3144.19
2023-02-18,Iași,Reach Truck,1,Corporate,Dealer,Yes,6,18604.83,1187.86
2023-02-18,București,Pallet Truck,4,Dealer,Dealer,Yes,6,23222.36,1671.76
2023-02-19,Timișoara,Electric Forklift,4,Dealer,Dealer,No,9,111143.61,3951.48
2023-02-20,București,Reach Truck,2,SME,Direct,Yes,7,42524.83,2501.29
2023-02-20,Constanța,Order Picker,1,SME,Direct,Yes,9,13195.19,909.44
2023-02-20,Cluj,Electric Forklift,1,SME,Direct,No,9,24740.84,1629.5
2023-02-20,Cluj,Electric Forklift,2,Dealer,Direct,Yes,8,59240.9,4570.28
2023-02-21,Timișoara,Electric Forklift,5,SME,Direct,No,7,112923.97,7189.22
2023-02-21,Constanța,Reach Truck,5,SME,Direct,No,9,100127.32,5334.44
2023-02-21,Cluj,Electric Forklift,4,Dealer,Direct,No,8,119578.24,3988.93
2023-02-21,București,Electric Forklift,4,SME,Direct,Yes,7,91333.21,3993.96
2023-02-22,Iași,Pallet Truck,2,Corporate,Direct,No,9,10835.47,710.17
2023-02-22,Cluj,Reach Truck,1,Corporate,Direct,Yes,10,20588.5,1285.01
2023-02-22,Iași,Order Picker,3,Corporate,Direct,Yes,8,39985.54,2220.07
2023-02-22,Cluj,Order Picker,4,SME,Direct,Yes,9,51874.21,3455.32
2023-02-22,Timișoara,Electric Forklift,5,Corporate,Direct,Yes,10,134119.9,10569.91
2023-02-23,București,Electric Forklift,2,Corporate,Direct,No,8,57163.25,3055.54
2023-02-23,Constanța,Order Picker,1,SME,Direct,Yes,8,13648.47,747.0
2023-02-23,Constanța,Reach Truck,2,Corporate,Direct,No,10,38424.06,2070.25
2023-02-23,Constanța,Electric Forklift,1,Dealer,Dealer,Yes,10,27464.46,1141.92
2023-02-23,Iași,Pallet Truck,5,Corporate,Direct,Yes,9,27959.07,1510.33
2023-02-23,Constanța,Pallet Truck,1,Dealer,Direct,No,9,5779.2,290.59
2023-02-23,Cluj,Pallet Truck,4,Dealer,Direct,Yes,8,23193.53,950.79
2023-02-23,Cluj,Electric Forklift,1,Corporate,Direct,No,9,24422.85,1003.98
2023-02-24,Cluj,Reach Truck,3,Corporate,Direct,No,10,56334.94,2124.71
2023-02-24,Constanța,Reach Truck,4,Corporate,Direct,Yes,9,71992.49,5520.04
2023-02-24,Constanța,Reach Truck,2,Corporate,Dealer,Yes,7,36294.09,1610.68
2023-02-24,Timișoara,Reach Truck,4,Dealer,Direct,No,9,79541.9,3668.99
2023-02-25,Timișoara,Pallet Truck,5,Dealer,Direct,Yes,10,29517.28,2275.13
2023-02-25,București,Electric Forklift,1,Corporate,Direct,Yes,9,25815.5,1848.56
2023-02-25,Iași,Order Picker,2,Corporate,Direct,Yes,9,21621.61,1560.69
2023-02-26,Constanța,Pallet Truck,1,Corporate,Direct,Yes,8,5242.32,255.03
2023-02-26,Iași,Order Picker,1,Dealer,Direct,Yes,7,12426.8,409.97
2023-02-26,București,Pallet Truck,2,Dealer,Direct,Yes,8,11513.5,566.33
2023-02-27,Iași,Electric Forklift,1,SME,Direct,No,7,23902.95,839.13
2023-02-27,Constanța,Reach Truck,3,SME,Direct,Yes,7,64311.17,1969.74
2023-02-28,București,Pallet Truck,1,SME,Direct,Yes,8,4815.65,337.46
2023-02-28,Timișoara,Reach Truck,4,Corporate,Direct,Yes,6,67009.45,4366.86
2023-02-28,București,Electric Forklift,5,Corporate,Dealer,No,9,143673.51,6111.8
2023-03-01,Constanța,Electric Forklift,2,Corporate,Direct,No,10,53092.4,3623.06
2023-03-01,Timișoara,Electric Forklift,2,Corporate,Direct,Yes,10,54841.52,2019.1
2023-03-01,Timișoara,Reach Truck,4,Corporate,Direct,Yes,9,80706.84,2832.62
2023-03-01,București,Pallet Truck,2,SME,Direct,Yes,10,10579.43,455.61
2023-03-01,Constanța,Reach Truck,5,Corporate,Direct,Yes,8,88652.87,5608.6
2023-03-01,Timișoara,Order Picker,4,Dealer,Direct,Yes,7,48033.83,2369.75
2023-03-01,Cluj,Electric Forklift,4,SME,Direct,Yes,7,98115.59,3395.37
2023-03-02,Constanța,Electric Forklift,1,Corporate,Dealer,Yes,10,24367.41,1628.63
2023-03-02,Iași,Reach Truck,3,Dealer,Direct,Yes,9,56866.68,3716.23
2023-03-02,Iași,Pallet Truck,1,Corporate,Direct,Yes,10,5934.43,370.18
2023-03-02,Timișoara,Pallet Truck,1,Dealer,Direct,No,8,5224.37,355.68
2023-03-02,București,Electric Forklift,1,Corporate,Direct,No,8,25048.27,1670.91
2023-03-02,Iași,Reach Truck,4,SME,Dealer,No,9,84528.8,4429.55
2023-03-03,Iași,Electric Forklift,2,Corporate,Direct,No,6,52066.28,1947.58
2023-03-04,Cluj,Electric Forklift,1,Corporate,Dealer,No,9,29374.6,2085.6
2023-03-04,Iași,Reach Truck,1,Corporate,Direct,Yes,8,16442.83,666.62
2023-03-04,Cluj,Electric Forklift,5,Corporate,Direct,Yes,8,120929.91,5118.53
2023-03-05,București,Reach Truck,4,Corporate,Direct,No,7,72273.47,4030.11
2023-03-05,Constanța,Electric Forklift,2,SME,Direct,No,7,53874.69,2488.21
2023-03-05,Cluj,Reach Truck,1,Dealer,Direct,Yes,8,20317.86,951.42
2023-03-05,București,Electric Forklift,5,Corporate,Direct,Yes,9,143970.71,9380.13
2023-03-05,Iași,Order Picker,2,Corporate,Direct,Yes,7,22029.35,995.69
2023-03-05,Timișoara,Order Picker,1,Corporate,Direct,Yes,7,12003.96,747.69
2023-03-05,Constanța,Reach Truck,3,Corporate,Direct,No,6,54134.47,2396.1
2023-03-05,Timișoara,Reach Truck,2,Corporate,Direct,No,8,41877.38,2137.01
2023-03-06,Constanța,Pallet Truck,1,Corporate,Direct,Yes,10,5612.1,282.27
2023-03-06,Iași,Pallet Truck,3,Corporate,Direct,Yes,7,16109.15,920.63
2023-03-06,Timișoara,Electric Forklift,2,Corporate,Dealer,No,7,56367.17,4192.73
2023-03-06,București,Electric Forklift,2,SME,Direct,No,6,48870.76,3887.29
2023-03-06,Constanța,Pallet Truck,1,Corporate,Direct,Yes,9,5862.63,356.19
2023-03-06,București,Reach Truck,5,Corporate,Direct,Yes,8,99066.49,7044.75
2023-03-07,București,Order Picker,4,Corporate,Direct,No,7,50909.99,3430.1
2023-03-07,Constanța,Electric Forklift,1,SME,Dealer,No,9,28417.88,1551.85
2023-03-07,Constanța,Pallet Truck,1,SME,Direct,Yes,10,4584.49,185.64
2023-03-07,Cluj,Pallet Truck,1,SME,Dealer,Yes,10,5452.62,207.2
2023-03-08,Timișoara,Pallet Truck,2,Corporate,Direct,Yes,8,10738.58,507.87
2023-03-08,Timișoara,Pallet Truck,1,Corporate,Direct,No,8,4620.88,348.26
2023-03-08,Iași,Electric Forklift,1,Corporate,Direct,No,10,28857.67,1447.1
2023-03-08,București,Reach Truck,2,Corporate,Direct,No,7,34622.61,1486.14
2023-03-08,Iași,Electric Forklift,1,SME,Direct,Yes,7,28078.61,2026.37
2023-03-08,Constanța,Pallet Truck,5,SME,Dealer,No,6,26601.43,1762.48
2023-03-08,Constanța,Order Picker,1,Corporate,Direct,Yes,6,11039.65,830.8
2023-03-08,Constanța,Order Picker,3,Corporate,Dealer,No,7,33326.27,2563.29
2023-03-08,București,Reach Truck,3,Corporate,Direct,Yes,6,49519.37,3317.57
2023-03-09,Timișoara,Reach Truck,2,Dealer,Direct,No,10,40775.34,2766.92
2023-03-09,București,Pallet Truck,1,Corporate,Direct,No,9,5751.28,355.63
2023-03-09,Cluj,Pallet Truck,3,Dealer,Direct,No,7,17329.73,581.86
2023-03-10,Timișoara,Electric Forklift,5,Corporate,Dealer,Yes,7,144943.89,4556.44
2023-03-10,Iași,Pallet Truck,2,Dealer,Direct,Yes,7,11196.77,874.03
2023-03-10,Timișoara,Order Picker,5,Corporate,Dealer,No,6,62491.46,4232.88
2023-03-10,București,Order Picker,3,SME,Direct,No,10,36951.59,1482.84
2023-03-10,Cluj,Reach Truck,1,SME,Direct,Yes,9,16338.62,1060.26
2023-03-11,Timișoara,Electric Forklift,5,Corporate,Direct,Yes,8,132557.82,10076.31
2023-03-12,Cluj,Reach Truck,2,SME,Direct,Yes,10,32522.46,1050.61
2023-03-12,Cluj,Pallet Truck,5,Corporate,Direct,Yes,8,27739.37,2169.52
2023-03-13,Constanța,Reach Truck,4,Corporate,Direct,Yes,10,80295.76,4954.13
2023-03-13,Constanța,Order Picker,5,SME,Direct,Yes,6,59562.71,1921.66
2023-03-13,Timișoara,Reach Truck,1,Dealer,Direct,No,10,19275.52,1358.42
2023-03-14,Constanța,Electric Forklift,5,Corporate,Direct,Yes,9,130324.21,5969.87
2023-03-14,București,Electric Forklift,1,SME,Direct,Yes,7,24975.45,1266.57
2023-03-15,Iași,Order Picker,4,SME,Direct,Yes,10,44240.63,2734.18
2023-03-15,Timișoara,Reach Truck,4,Corporate,Dealer,Yes,7,66423.71,4481.24
2023-03-15,Timișoara,Electric Forklift,2,Corporate,Direct,Yes,10,51125.96,2882.19
2023-03-15,Constanța,Order Picker,4,Dealer,Direct,Yes,8,52266.59,2297.45
2023-03-15,Iași,Electric Forklift,5,SME,Dealer,No,10,116262.39,6986.89
2023-03-16,Constanța,Order Picker,5,SME,Direct,No,6,59175.4,2695.86
2023-03-16,București,Order Picker,2,Corporate,Direct,No,10,21836.32,1735.26
2023-03-17,București,Electric Forklift,2,Dealer,Direct,Yes,7,47459.0,3652.6
2023-03-17,Timișoara,Reach Truck,1,Dealer,Direct,No,8,18101.05,834.98
2023-03-17,Timișoara,Electric Forklift,1,SME,Dealer,No,10,22679.27,1551.95
2023-03-17,Cluj,Pallet Truck,5,Corporate,Direct,Yes,10,29217.65,1228.09
